Intent,Statement
Emotion,"I'm shy, I don't want to talk to the new grown-ups."
Desire,I want to wear my princess dress to school.
Question,What's inside this box?
Desire,I’m dreaming of reading that book and finding pieces of myself inside it.
Pride,I picked out my own snacks all by myself!  
Imitation,I’m copying the way snakes peek out with curious eyes!
Comfort,I want my blanket.
Gratitude,"My happiness is at its peak, all credit to you for taking me there!"
Imitation,Look! Iâm acting like an airplane pilot!  
Complaint,"I wanted to answer, but the teacher picked someone else!  "
Observation,The birds are chirping really loudly today!  
Complaint,They always pick each other and leave me out.
Command,"Let’s share this moment, sit here!"
Complaint,It’s like the wind is having fun without me!
Complaint,I could’ve read a whole book while waiting
Complaint,I wish my shirt wasn’t so wet—it’s not nice to wear.
Comfort,"I wish I felt peaceful and glad, please help me feel that happy calm."
Excitement,I canât wait to eat from the big serving dish!  
Comfort,"My tears feel close, can you make them turn into happy giggles?"
Comfort,"Please hold me close and tight, it makes me feel all better inside."
Imitation,I’m talking like I’m the queen of dramatic entrances and exits!
Distress,Her words are making me feel tormented and discouraged.
Need,Can we please watch the new Disney movie? I have to see it!
Attention,Dada! Dada! Watch this!
Need,I need you to read me a story with dragons.
Complaint,My drink is history and I’m still craving more.
Complaint,It’s packed with pages but not enough excitement.
Need,I MUST leave my instrument within arm’s reach so I can dive into hours of play.
Question,Are baby birds called hatchlings when they first come out of the egg?
Emotion,Happy! Big smile!
Gratitude,Glad for tiny fufu!
Refusal,Nope! I’d rather choose something else.
Refusal,No! I donât want to stop playing yet! We just got to Manchester!  
Need,My tummy needs milk before bed.
Complaint,I don’t like this juice—it’s too thin and not yummy.
Command,Stop that! Now!
Need,require something tasty to fill my empty stomach.
Refusal,I won’t drink my juice unless it’s ice cold!
Desire,Holy cow! I’m super stoked to score that toy!
Comfort,Stay close—it helps me feel safe and loved.
Question,Would you consider letting me have a playdate with my next-door friend tomorrow?
Comfort,A warm space makes everything feel calm and cozy.
Desire,"Daddy, I wish we could have fish and chips for dinner!  "
Command,"Take this secret to your chest, never share it with Mum!"
Complaint,It’s like the buttons are made of stone—zero response.
Refusal,I just don’t want to do that right now.
Command,I need it—give!
Need,I absolutely need to drink water; it's imperative.
Gratitude,I’ll remember this moment whenever I need a smile—thank you for giving me that gift.
Complaint,I feel frustrated because I didn’t get the one I wanted.
Distress,My cuddly roti is lost and I feel nervous and unsettled
Refusal,No way! You can’t have my favorite toy.
Complaint,My chair wobbles every time I move.
Need,I want you to help me remember the rules.
Command,Open the window
Refusal,Give me some time alone.
Refusal,Not this time! My sparkle’s taking a rain check.
Question,"What happens if this app doesn't download properly, and how do I resolve it?"
Complaint,Her singing is a squeaky door that won't stop.
Emotion,"sleep is tiptoeing in, but I’m still holding hands with the day—it’s hard to let go."
Distress,My kite disappeared with the wind and I’m feeling uneasy and troubled
Desire,I wish I could stay up until the first birds start to sing.
Question,How do fish swim?
Desire,I wish we could play tag with flashlights when the stars come out.
Desire,I want to play tag with my friends.
Distress,"My head feels dizzy, and it feels painful in my head, now I feel queasy."
Refusal,I don't want to watch this programme.
Emotion,"I don’t know why, but I feel mad!—it’s like a storm showed up in my sky without telling me why it came."
Desire,I’d be so pleased if it came printed on paper.
Refusal,"I want to keep riding, don’t make me get off."
Complaint,I can’t see the TV and it’s not fair.
Emotion,"When things feel unfair,I feel like my voice is shouting into a world that won’t answer back."
Refusal,"No, I don’t want to listen."
Emotion,I’m giggly when I bounce on the bed.
Question,When do we let the wild rumpus start?
Imitation,Iâm copying everything you do!
Emotion,"I’m truly excited because every time I practice, I feel like I’m unlocking a new superpower."
Comfort,Walking together makes everything feel calm and cozy.
Desire,I’d love to visit a place where fun is the only rule and joy is the prize.
Question,How do bees make honey?  
Question,Did the doggy go to sleep somewhere?
Gratitude,thank you for choosing something so thoughtful and full of wonder.
Imitation,I’m pretending to hold the Golden Stool with pride and power!
Comfort,I feel cared for when you make me tea with love.
Attention,Can you watch me solve this puzzle super fast?  
Pride,I built a giant sandcastle in Durham!
Need,I need a new compass right now.
Complaint,It’s like he stole my game right out of the air!
Complaint,I feel sad because I didn’t get the slice I picked out.
Question,What's this mysterious item?
Comfort,A gentle break would help me feel like myself again.
Possession,"This is her responsibility, not something I have to worry about."
Need,The film I wish to view is the new Mario movie.
Refusal,Iâm not taking a bath yet!  
Emotion,Happy! My heart is a singing bird!
Refusal,No soft dumplings!
Gratitude,that blanket isn’t just cosy—it’s a gentle reminder that I’m loved and looked after.
Excitement,I am having the time of my life!  
Comfort,Can you just be quiet with me for a while?
Need,"I need some quiet time, my head's a bit fuzzy."
Complaint,My shoes feel painful because of the laces.
Gratitude,My heart is absolutely filled with appreciation for your help!
Pride,"I got a certificate for being the BESTEST helper, I'm SO, SO PROUD!"
Distress,"Uh oh, big noise made me scared, and now I feel miserable and unhappy."
Need,"My thoughts are buzzing like busy bees—I must capture them in clear, structured paragraphs."
Comfort,"I feel a bit shivery, please hold me still so I can feel your warmth."
Emotion,I’m upset like a drum that didn’t get to play its beat.
Need,"Pass me my travel guide, I want to learn more!  "
Refusal,Absolutely not! I’m still going.
Imitation,"I’m using my boldest voice to say, “Justice will always win!”"
Emotion,I feel loved when someone cheers me on.
Gratitude,"You always make me smile, thanks for that!  "
Imitation,I’m copying the way rulers speak in old tales and legends!
Observation,"Mummy, the moon looks extra big tonight!  "
Question,Why does this stuff matter so much?
Refusal,"Please turn off the radio,I don’t like that song."
Complaint,I feel grumpy because my blanket fell and got dirty.
Imitation,"Daddy, Iâm flying like Peter Pan!  "
Imitation,I’m copying the way lambs leap and baa with joy in their hooves!
Possession,"This is my special toy, no touching!"
Observation,The fruit aisles always look colorful in Waitrose!  
Comfort,The little pages of my book bring me happiness.
Emotion,That feeling makes me feel like my growth is paused on a page I’ve already read.
Emotion,It feels like the sky is shouting without warning.
Excitement,"I get to choose the book for story time tonight, yay!"
Complaint,My legs are aching and feel too heavy to keep going.
Imitation,Iâm talking like a Bollywood actor!  
Attention,"Hey, over here! I found a shiny penny!"
Gratitude,my glossy leaf is a tiny marvel—its shimmer catches the light like a secret smile from nature.
Complaint,My trolley wheel keeps getting stuck!  
Emotion,I'm scared of the creaking noises in the attic.
Refusal,No way! I’m not turning into a walking sponge!
Attention,Did you see the fireworks sparkle?  
Need,I need to put on my wellies.
Complaint,I’ve waited long enough and I want to go now.
Emotion,"loneliness is like a soft knock on the door of my heart, asking for kindness, comfort, and maybe a little company."
